"Species","Year","Region","Biomass"
"sockeye",2009,"M.I",967
"sockeye",2010,"M.I",1185
"sockeye",2011,"M.I",1576
"sockeye",2012,"M.I",1153
"sockeye",2013,"M.I",1309
"sockeye",2014,"M.I",1062
"sockeye",2015,"M.I",1483
"sockeye",1952,"WKam",13321
"sockeye",1953,"WKam",10194
"sockeye",1954,"WKam",11908
"sockeye",1955,"WKam",20150
"sockeye",1956,"WKam",16242
"sockeye",1957,"WKam",29668
"sockeye",1958,"WKam",18335
"sockeye",1959,"WKam",14719
"sockeye",1960,"WKam",16102
"sockeye",1961,"WKam",25912
"sockeye",1962,"WKam",29014
"sockeye",1963,"WKam",14920
"sockeye",1964,"WKam",4821
"sockeye",1965,"WKam",10372
"sockeye",1966,"WKam",8445
"sockeye",1967,"WKam",11126
"sockeye",1968,"WKam",2545
"sockeye",1969,"WKam",1970
"sockeye",1970,"WKam",3016
"sockeye",1971,"WKam",5191
"sockeye",1972,"WKam",5003
"sockeye",1973,"WKam",3539
"sockeye",1974,"WKam",8681
"sockeye",1975,"WKam",3708
"sockeye",1976,"WKam",4349
"sockeye",1977,"WKam",1138
"sockeye",1978,"WKam",2618
"sockeye",1979,"WKam",2109
"sockeye",1980,"WKam",3764
"sockeye",1981,"WKam",4707
"sockeye",1982,"WKam",3439
"sockeye",1983,"WKam",3659
"sockeye",1984,"WKam",5316
"sockeye",1985,"WKam",10760
"sockeye",1986,"WKam",9098
"sockeye",1987,"WKam",12800
"sockeye",1988,"WKam",11694
"sockeye",1989,"WKam",11076
"sockeye",1990,"WKam",20661
"sockeye",1991,"WKam",17529
"sockeye",1992,"WKam",15664
"sockeye",1993,"WKam",18764
"sockeye",1994,"WKam",17282
"sockeye",1995,"WKam",14626
"sockeye",1996,"WKam",15404
"sockeye",1997,"WKam",10773
"sockeye",1998,"WKam",9666
"sockeye",1999,"WKam",9521
"sockeye",2000,"WKam",14688
"sockeye",2001,"WKam",14673
"sockeye",2002,"WKam",33127
"sockeye",2003,"WKam",17697
"sockeye",2004,"WKam",20495
"sockeye",2005,"WKam",26417
